year_month,nifty,reliance,date
2007-09,5021.35009765625,230.80686950683594,2007-09-01
2007-10,5900.64990234375,279.59356689453125,2007-10-01
2007-11,5762.75,286.40814208984375,2007-11-01
2007-12,6138.60009765625,289.5267639160156,2007-12-01
2008-01,5137.4501953125,248.97073364257812,2008-01-01
2008-02,5223.5,247.41893005371094,2008-02-01
2008-03,4734.5,227.5677947998047,2008-03-01
2008-04,5165.89990234375,262.58984375,2008-04-01
2008-05,4870.10009765625,242.66893005371094,2008-05-01
2008-06,4040.550048828125,211.5364227294922,2008-06-01
2008-07,4332.9501953125,222.87979125976562,2008-07-01
2008-08,4360.0,215.68101501464844,2008-08-01
2008-09,3921.199951171875,196.8157501220703,2008-09-01
2008-10,2885.60009765625,138.8720245361328,2008-10-01
2008-11,2755.10009765625,114.53953552246094,2008-11-01
2008-12,2959.14990234375,124.46434783935547,2008-12-01
2009-01,2874.800048828125,133.63702392578125,2009-01-01
2009-02,2763.64990234375,127.82649230957031,2009-02-01
2009-03,3020.949951171875,153.94607543945312,2009-03-01
2009-04,3473.949951171875,182.76649475097656,2009-04-01
2009-05,4448.9501953125,229.38192749023438,2009-05-01
2009-06,4291.10009765625,204.2921905517578,2009-06-01
2009-07,4636.4501953125,197.4265594482422,2009-07-01
2009-08,4662.10009765625,202.4445037841797,2009-08-01
2009-09,5083.9501953125,222.28916931152344,2009-09-01
2009-10,4711.7001953125,196.2510528564453,2009-10-01
2009-11,5032.7001953125,216.15411376953125,2009-11-01
2009-12,5201.0498046875,221.6519775390625,2009-12-01
2010-01,4882.0498046875,212.637939453125,2010-01-01
2010-02,4922.2998046875,198.96951293945312,2010-02-01
2010-03,5249.10009765625,218.3390350341797,2010-03-01
2010-04,5278.0,210.07701110839844,2010-04-01
2010-05,5086.2998046875,214.08804321289062,2010-05-01
2010-06,5312.5,223.1483154296875,2010-06-01
2010-07,5367.60009765625,206.72723388671875,2010-07-01
2010-08,5402.39990234375,188.20748901367188,2010-08-01
2010-09,6029.9501953125,202.14083862304688,2010-09-01
2010-10,6017.7001953125,224.4586944580078,2010-10-01
2010-11,5862.7001953125,201.80299377441406,2010-11-01
2010-12,6134.5,216.7703094482422,2010-12-01
2011-01,5505.89990234375,188.2279815673828,2011-01-01
2011-02,5333.25,197.43153381347656,2011-02-01
2011-03,5833.75,214.80470275878906,2011-03-01
2011-04,5749.5,201.42417907714844,2011-04-01
2011-05,5473.10009765625,196.69158935546875,2011-05-01
2011-06,5647.39990234375,185.66726684570312,2011-06-01
2011-07,5482.0,171.08871459960938,2011-07-01
2011-08,5001.0,161.71754455566406,2011-08-01
2011-09,4943.25,167.03855895996094,2011-09-01
2011-10,5326.60009765625,181.33815002441406,2011-10-01
2011-11,4832.0498046875,160.8186492919922,2011-11-01
2011-12,4624.2998046875,143.19215393066406,2011-12-01
2012-01,5199.25,168.84669494628906,2012-01-01
2012-02,5385.2001953125,169.60089111328125,2012-02-01
2012-03,5295.5498046875,155.10504150390625,2012-03-01
2012-04,5248.14990234375,153.96849060058594,2012-04-01
2012-05,4924.25,147.73252868652344,2012-05-01
2012-06,5278.89990234375,154.48472595214844,2012-06-01
2012-07,5229.0,155.68861389160156,2012-07-01
2012-08,5258.5,160.4622802734375,2012-08-01
2012-09,5703.2998046875,175.28579711914062,2012-09-01
2012-10,5619.7001953125,168.64869689941406,2012-10-01
2012-11,5879.85009765625,166.17813110351562,2012-11-01
2012-12,5905.10009765625,175.77784729003906,2012-12-01
2013-01,6034.75,185.63922119140625,2013-01-01
2013-02,5693.0498046875,170.39697265625,2013-02-01
2013-03,5682.5498046875,161.82322692871094,2013-03-01
2013-04,5930.2001953125,165.02659606933594,2013-04-01
2013-05,5985.9501953125,170.85256958007812,2013-05-01
2013-06,5842.2001953125,182.78237915039062,2013-06-01
2013-07,5742.0,184.78480529785156,2013-07-01
2013-08,5471.7998046875,180.92828369140625,2013-08-01
2013-09,5735.2998046875,174.26412963867188,2013-09-01
2013-10,6299.14990234375,193.8222198486328,2013-10-01
2013-11,6176.10009765625,180.79051208496094,2013-11-01
2013-12,6304.0,189.6902313232422,2013-12-01
2014-01,6089.5,176.1182098388672,2014-01-01
2014-02,6276.9501953125,169.5070343017578,2014-02-01
2014-03,6704.2001953125,197.22315979003906,2014-03-01
2014-04,6696.39990234375,198.29322814941406,2014-04-01
2014-05,7229.9501953125,227.83285522460938,2014-05-01
2014-06,7611.35009765625,217.2832489013672,2014-06-01
2014-07,7721.2998046875,215.36805725097656,2014-07-01
2014-08,7954.35009765625,213.70970153808594,2014-08-01
2014-09,7964.7998046875,202.36830139160156,2014-09-01
2014-10,8322.2001953125,214.10552978515625,2014-10-01
2014-11,8588.25,212.1903533935547,2014-11-01
2014-12,8282.7001953125,190.69525146484375,2014-12-01
2015-01,8808.900390625,195.8523712158203,2015-01-01
2015-02,8844.599609375,183.07730102539062,2015-02-01
2015-03,8491.0,176.75393676757812,2015-03-01
2015-04,8181.5,184.53240966796875,2015-04-01
2015-05,8433.650390625,190.0317840576172,2015-05-01
2015-06,8368.5,216.70558166503906,2015-06-01
2015-07,8532.849609375,217.08477783203125,2015-07-01
2015-08,7971.2998046875,185.4597930908203,2015-08-01
2015-09,7948.89990234375,186.84657287597656,2015-09-01
2015-10,8065.7998046875,205.35134887695312,2015-10-01
2015-11,7935.25,209.55502319335938,2015-11-01
2015-12,7946.35009765625,219.84750366210938,2015-12-01
2016-01,7563.5498046875,224.35450744628906,2016-01-01
2016-02,6987.0498046875,209.45750427246094,2016-02-01
2016-03,7738.39990234375,229.02793884277344,2016-03-01
2016-04,7849.7998046875,215.33274841308594,2016-04-01
2016-05,8160.10009765625,209.8875274658203,2016-05-01
2016-06,8287.75,212.36363220214844,2016-06-01
2016-07,8638.5,222.38858032226562,2016-07-01
2016-08,8786.2001953125,232.27102661132812,2016-08-01
2016-09,8611.150390625,237.46424865722656,2016-09-01
2016-10,8638.0,231.16444396972656,2016-10-01
2016-11,8224.5,216.9433135986328,2016-11-01
2016-12,8185.7998046875,237.1793670654297,2016-12-01
2017-01,8561.2998046875,229.02793884277344,2017-01-01
2017-02,8879.599609375,271.2859802246094,2017-02-01
2017-03,9173.75,289.4403076171875,2017-03-01
2017-04,9304.0498046875,305.72125244140625,2017-04-01
2017-05,9621.25,293.7790222167969,2017-05-01
2017-06,9520.900390625,302.3905944824219,2017-06-01
2017-07,10077.099609375,356.74200439453125,2017-07-01
2017-08,9917.900390625,352.1700439453125,2017-08-01
2017-09,9788.599609375,344.9477844238281,2017-09-01
2017-10,10335.2998046875,415.6026306152344,2017-10-01
2017-11,10226.5498046875,407.0772399902344,2017-11-01
2017-12,10530.7001953125,406.8563232421875,2017-12-01
2018-01,11027.7001953125,424.6361083984375,2018-01-01
2018-02,10492.849609375,421.6543273925781,2018-02-01
2018-03,10113.7001953125,389.9159851074219,2018-03-01
2018-04,10739.349609375,425.51953125,2018-04-01
2018-05,10736.150390625,406.9888916015625,2018-05-01
2018-06,10714.2998046875,432.4328308105469,2018-06-01
2018-07,11356.5,527.3950805664062,2018-07-01
2018-08,11680.5,552.1417236328125,2018-08-01
2018-09,10930.4501953125,559.3900756835938,2018-09-01
2018-10,10386.599609375,471.9207458496094,2018-10-01
2018-11,10876.75,519.190673828125,2018-11-01
2018-12,10862.5498046875,498.6017761230469,2018-12-01
2019-01,10830.9501953125,545.69384765625,2019-01-01
2019-02,10792.5,547.4280395507812,2019-02-01
2019-03,11570.0,604.7700805664062,2019-03-01
2019-04,11748.150390625,619.3555908203125,2019-04-01
2019-05,11922.7998046875,591.4962158203125,2019-05-01
2019-06,11788.849609375,557.2332763671875,2019-06-01
2019-07,11118.0,518.612548828125,2019-07-01
2019-08,11023.25,558.5426635742188,2019-08-01
2019-09,11474.4501953125,595.9862060546875,2019-09-01
2019-10,11877.4501953125,655.0814819335938,2019-10-01
2019-11,12056.0498046875,693.9117431640625,2019-11-01
2019-12,12168.4501953125,677.3150024414062,2019-12-01
2020-01,11962.099609375,631.5059814453125,2020-01-01
2020-02,11201.75,594.3756103515625,2020-02-01
2020-03,8597.75,498.2395324707031,2020-03-01
2020-04,9859.900390625,655.819580078125,2020-04-01
2020-05,9580.2998046875,661.3135986328125,2020-05-01
2020-06,10302.099609375,769.5606079101562,2020-06-01
2020-07,11073.4501953125,937.2877807617188,2020-07-01
2020-08,11387.5,943.4544067382812,2020-08-01
2020-09,11247.5498046875,1013.1241455078125,2020-09-01
2020-10,11642.400390625,931.5745239257812,2020-10-01
2020-11,12968.9501953125,875.0316162109375,2020-11-01
2020-12,13981.75,900.1970825195312,2020-12-01
2021-01,13634.599609375,835.1976928710938,2021-01-01
2021-02,14529.150390625,945.7669677734375,2021-02-01
2021-03,14690.7001953125,908.2681274414062,2021-03-01
2021-04,14631.099609375,904.36865234375,2021-04-01
2021-05,15582.7998046875,979.5475463867188,2021-05-01
2021-06,15721.5,960.3711547851562,2021-06-01
2021-07,15763.0498046875,926.0859985351562,2021-07-01
2021-08,17132.19921875,1027.4854736328125,2021-08-01
2021-09,17618.150390625,1146.2890625,2021-09-01
2021-10,17671.650390625,1154.0242919921875,2021-10-01
2021-11,16983.19921875,1094.48583984375,2021-11-01
2021-12,17354.05078125,1077.5367431640625,2021-12-01
2022-01,17339.849609375,1085.931884765625,2022-01-01
2022-02,16793.900390625,1073.62353515625,2022-02-01
2022-03,17464.75,1198.843017578125,2022-03-01
2022-04,17102.55078125,1269.5975341796875,2022-04-01
2022-05,16584.55078125,1197.8873291015625,2022-05-01
2022-06,15780.25,1181.052001953125,2022-06-01
2022-07,17158.25,1141.8299560546875,2022-07-01
2022-08,17759.30078125,1204.2152099609375,2022-08-01
2022-09,17094.349609375,1085.4349365234375,2022-09-01
2022-10,18012.19921875,1163.8837890625,2022-10-01
2022-11,18758.349609375,1246.85205078125,2022-11-01
2022-12,18105.30078125,1162.7880859375,2022-12-01
2023-01,17662.150390625,1074.5245361328125,2023-01-01
2023-02,17303.94921875,1060.2362060546875,2023-02-01
2023-03,17359.75,1064.116455078125,2023-03-01
2023-04,18065.0,1104.949951171875,2023-04-01
2023-05,18534.400390625,1127.5009765625,2023-05-01
2023-06,19189.05078125,1164.1805419921875,2023-06-01
