year_month,nifty,tatasteel,date
2007-09,5021.35009765625,39.660888671875,2007-09-01
2007-10,5900.64990234375,54.058372497558594,2007-10-01
2007-11,5762.75,49.2899169921875,2007-11-01
2007-12,6138.60009765625,55.82491683959961,2007-12-01
2008-01,5137.4501953125,44.079830169677734,2008-01-01
2008-02,5223.5,47.8486442565918,2008-02-01
2008-03,4734.5,41.438995361328125,2008-03-01
2008-04,5165.89990234375,48.83336639404297,2008-04-01
2008-05,4870.10009765625,53.87933349609375,2008-05-01
2008-06,4040.550048828125,43.49795150756836,2008-06-01
2008-07,4332.9501953125,40.154273986816406,2008-07-01
2008-08,4360.0,36.81983184814453,2008-08-01
2008-09,3921.199951171875,26.182109832763672,2008-09-01
2008-10,2885.60009765625,12.856598854064941,2008-10-01
2008-11,2755.10009765625,9.28004264831543,2008-11-01
2008-12,2959.14990234375,13.313247680664062,2008-12-01
2009-01,2874.800048828125,11.315033912658691,2009-01-01
2009-02,2763.64990234375,10.591753959655762,2009-02-01
2009-03,3020.949951171875,12.620614051818848,2009-03-01
2009-04,3473.949951171875,14.594310760498047,2009-04-01
2009-05,4448.9501953125,24.84587860107422,2009-05-01
2009-06,4291.10009765625,23.944843292236328,2009-06-01
2009-07,4636.4501953125,29.414302825927734,2009-07-01
2009-08,4662.10009765625,26.990415573120117,2009-08-01
2009-09,5083.9501953125,32.4107666015625,2009-09-01
2009-10,4711.7001953125,29.999601364135742,2009-10-01
2009-11,5032.7001953125,36.84819793701172,2009-11-01
2009-12,5201.0498046875,39.29753494262695,2009-12-01
2010-01,4882.0498046875,36.20564270019531,2010-01-01
2010-02,4922.2998046875,36.53963851928711,2010-02-01
2010-03,5249.10009765625,40.21046829223633,2010-03-01
2010-04,5278.0,39.37069320678711,2010-04-01
2010-05,5086.2998046875,31.854097366333008,2010-05-01
2010-06,5312.5,30.896623611450195,2010-06-01
2010-07,5367.60009765625,34.72358703613281,2010-07-01
2010-08,5402.39990234375,33.79891586303711,2010-08-01
2010-09,6029.9501953125,42.150028228759766,2010-09-01
2010-10,6017.7001953125,38.11188507080078,2010-10-01
2010-11,5862.7001953125,37.81443786621094,2010-11-01
2010-12,6134.5,43.99614334106445,2010-12-01
2011-01,5505.89990234375,41.36438751220703,2011-01-01
2011-02,5333.25,39.25963592529297,2011-02-01
2011-03,5833.75,40.23603820800781,2011-03-01
2011-04,5749.5,39.86422348022461,2011-04-01
2011-05,5473.10009765625,38.086021423339844,2011-05-01
2011-06,5647.39990234375,39.460086822509766,2011-06-01
2011-07,5482.0,37.210838317871094,2011-07-01
2011-08,5001.0,30.913366317749023,2011-08-01
2011-09,4943.25,27.403406143188477,2011-09-01
2011-10,5326.60009765625,31.85353660583496,2011-10-01
2011-11,4832.0498046875,25.414207458496094,2011-11-01
2011-12,4624.2998046875,22.125272750854492,2011-12-01
2012-01,5199.25,29.742277145385742,2012-01-01
2012-02,5385.2001953125,31.177268981933594,2012-02-01
2012-03,5295.5498046875,31.124496459960938,2012-03-01
2012-04,5248.14990234375,30.590076446533203,2012-04-01
