year_month,sensex,nifty,date
1998-09,3102.29,904.95,1998-09-01
1998-10,2812.49,824.0,1998-10-01
1998-11,2810.66,817.75,1998-11-01
1998-12,3055.41,884.25,1998-12-01
1999-01,3315.57,966.2,1999-01-01
1999-02,3399.63,981.3,1999-02-01
1999-03,3739.96,1078.05,1999-03-01
1999-04,3325.69,978.2,1999-04-01
1999-05,3963.56,1132.3,1999-05-01
1999-06,4140.73,1187.7,1999-06-01
1999-07,4542.34,1310.15,1999-07-01
1999-08,4898.21,1412.0,1999-08-01
1999-09,4764.42,1413.1,1999-09-01
1999-10,4444.56,1325.45,1999-10-01
1999-11,4622.21,1376.15,1999-11-01
1999-12,5005.82,1480.45,1999-12-01
2000-01,5205.29,1546.2,2000-01-01
2000-02,5446.98,1654.8,2000-02-01
2000-03,5001.28,1528.45,2000-03-01
2000-04,4657.55,1406.55,2000-04-01
2000-05,4433.61,1380.45,2000-05-01
2000-06,4748.77,1471.45,2000-06-01
2000-07,4279.86,1332.85,2000-07-01
2000-08,4477.31,1394.1,2000-08-01
2000-09,4090.38,1271.65,2000-09-01
2000-10,3711.02,1172.75,2000-10-01
2000-11,3997.99,1268.15,2000-11-01
2000-12,3972.12,1263.55,2000-12-01
2001-01,4326.72,1371.7,2001-01-01
2001-02,4247.04,1351.4,2001-02-01
2001-03,3604.38,1148.2,2001-03-01
2001-04,3519.16,1125.25,2001-04-01
2001-05,3631.91,1167.9,2001-05-01
2001-06,3456.78,1107.9,2001-06-01
2001-07,3329.28,1072.85,2001-07-01
2001-08,3244.95,1053.75,2001-08-01
2001-09,2811.6,913.85,2001-09-01
2001-10,2989.35,971.9,2001-10-01
2001-11,3287.5,1067.15,2001-11-01
2001-12,3262.33,1059.05,2001-12-01
2002-01,3311.03,1075.4,2002-01-01
2002-02,3562.31,1142.05,2002-02-01
2002-03,3469.35,1129.55,2002-03-01
2002-04,3338.16,1084.5,2002-04-01
2002-05,3125.73,1028.8,2002-05-01
2002-06,3244.7,1057.8,2002-06-01
2002-07,2987.65,958.9,2002-07-01
2002-08,3181.23,1010.6,2002-08-01
2002-09,2991.36,963.15,2002-09-01
